party_id,num_posts,avg_react_Like,avg_react_Love,avg_react_Haha,avg_react_Wow,avg_react_Sad,avg_react_Angry,avg_react_Care,num_video_posts,avg_video_views,median_video_views,total_reactions,avg_reactions_total,total_followers,avg_followers_total
P001,46,7098.521739,535.2608696,6295.282609,21.95652174,21.67391304,425.7391304,63.97826087,12,129566.6667,20474.5,665271,14462.41304,15459000,336065.2174
P002,35,11825.02857,1684.8,558.3714286,13.25714286,9.314285714,27.51428571,101.4857143,6,190016.5,122223.5,497692,14219.77143,10987000,313914.2857
P003,33,2972.606061,209.969697,125.6969697,1.96969697,37.12121212,3.363636364,18.54545455,15,44841.06667,54198,111186,3369.272727,11135000,337424.2424
P004,36,47341.72222,20795.86111,96.97222222,123.3888889,23.83333333,7.888888889,2621.472222,7,218374.5714,58296,2556401,71011.13889,29130000,809166.6667
P005,70,3728.214286,376.7285714,71.78571429,2.942857143,3.828571429,3.4,46.14285714,26,47708.57692,16558,296313,4233.042857,27900000,398571.4286
P006,21,151.4761905,5.619047619,3.523809524,0.142857143,0.047619048,0.047619048,0.333333333,1,38,38,3385,161.1904762,308700,14700
P007,17,96.52941176,1.882352941,6.588235294,0.117647059,0,0.176470588,0.058823529,1,709,709,1791,105.3529412,1294600,76152.94118
P009,15,223.4666667,5.6,1.533333333,0.066666667,0,0,0.2,6,2501.333333,2393,3463,230.8666667,690000,46000
P010,1,85,7,0,0,0,0,0,0,0,0,92,92,8900,8900
P011,15,423.8,12.33333333,1.133333333,0.466666667,0,0.333333333,0.933333333,2,2371,2371,6585,439,126000,8400
P014,33,2285.363636,195.3030303,187.8181818,3.393939394,1.272727273,10.54545455,13.96969697,11,70842.27273,1104,89023,2697.666667,23247000,704454.5455
P032,23,810.9565217,46.91304348,3.47826087,0.608695652,0.043478261,0,7.217391304,9,10500.33333,4203,19992,869.2173913,753000,32739.13043
P046,45,855.6,57.6,63.88888889,2.044444444,0.4,4.377777778,12.68888889,5,7149.8,22,44847,996.6,26445000,587666.6667
P057,20,2100.05,267.4,18.55,2.4,0.1,0.6,35.55,5,6579,4788,48493,2424.65,1339200,66960
P086,38,1776.973684,81.28947368,190.1052632,3.157894737,10.31578947,0.736842105,8.578947368,6,62196.66667,30699,78704,2071.157895,18908000,497578.9474
