state_id,district_id,gender_पुरुष,gender_महिला,gender_अन्य,age_18-29,age_30-39,age_40-49,age_50-59,age_60-69,age_70-79,age_80-89,age_90-99,age_100+,total_voters,DISTRICT
1,1,48285,42042,0,18871,23569,16231,12820,10276,5837,2157,529,37,90327,TAPLEJUNG
1,2,76078,67330,0,26685,37766,25095,19978,17351,10099,4917,1379,138,143408,PANCHTHAR
1,3,119648,112158,3,38788,58799,46102,34627,28046,16591,6870,1816,170,231809,ILAM
1,4,358346,355183,8,113578,162362,157143,118395,80660,52030,22203,6228,938,713537,JHAPA
1,5,62172,57458,0,23510,30283,22557,16819,13985,8300,3307,797,72,119630,SANKHUWASABHA
1,6,37627,35510,0,14887,18717,13093,10661,8844,4778,1801,338,18,73137,TERHATHUM
1,7,65788,59977,1,20207,30778,22162,19374,16450,10175,4979,1520,121,125766,BHOJPUR
1,8,59483,58942,0,20718,29169,22685,18663,14595,8360,3348,796,91,118425,DHANKUTA
1,9,399686,383357,7,121885,181230,167617,127907,93748,59152,23741,6714,1056,783050,MORANG
1,10,294252,286691,2,91312,140435,125429,97377,65556,40849,15215,4112,660,580945,SUNSARI
1,11,44483,41032,0,15625,21024,15401,12565,10156,6445,3345,867,87,85515,SOLUKHUMBU
1,12,77656,69464,0,26982,36874,24373,21173,17965,11493,6126,1920,214,147120,KHOTANG
1,13,62843,59871,1,23657,30530,21973,18410,14070,8798,4132,1054,91,122715,OKHALDHUNGA
1,14,121866,117058,2,46826,59702,45405,36051,25573,16077,7032,2022,238,238926,UDAYAPUR
2,15,233096,213283,23,75169,102692,92389,73517,46801,37933,14548,2843,510,446402,SAPTARI
2,16,241615,212028,2,79641,104338,93823,72762,48354,38121,13361,2847,398,453645,SIRAHA
2,20,276126,238435,10,77385,119320,103214,83954,60349,47352,18295,4084,618,514571,DHANUSHA
2,21,235183,196097,2,73329,98886,87834,67996,47830,37836,14098,3017,456,431282,MAHOTTARI
2,22,278837,232758,11,88070,117175,106790,81034,53862,41460,18289,4301,625,511606,SARLAHI
2,32,240267,196343,1,90450,103997,89562,68930,38117,31131,11773,2237,414,436611,RAUTAHAT
2,33,255763,210009,12,85695,107902,95339,75532,44802,35329,16900,3740,545,465784,BARA
2,34,212077,164421,15,61923,86674,78560,65020,39429,28996,13184,2373,354,376513,PARSA
3,17,87161,83160,0,28552,42941,32068,25687,20020,12896,6184,1818,155,170321,DOLAKHA
3,18,96892,91060,0,38028,47050,32856,28254,20953,12833,6185,1602,191,187952,RAMECHHAP
3,19,111324,103695,0,39847,55728,40940,33234,23315,14140,5915,1739,161,215019,SINDHULI
3,23,21141,20329,1,10322,10086,7533,5429,3943,2517,1309,285,47,41471,RASUWA
3,24,141019,134259,2,51327,68478,52315,39392,31338,19271,9556,3173,430,275280,DHADING
3,25,128890,118975,3,46673,62679,46960,36100,27507,16900,8117,2625,307,247868,NUWAKOT
3,26,344194,366507,7,80872,145232,148446,139314,99602,60020,27150,8773,1299,710708,KATHMANDU
3,27,100140,105265,5,30424,47128,44364,38497,24071,13032,6047,1643,204,205410,BHAKTAPUR
3,28,131549,137707,0,35015,57684,56456,50472,35416,20956,9735,3038,484,269256,LALITPUR
3,29,167499,159110,2,53038,82731,66565,52163,37588,20902,10393,2905,326,326611,KABHREPALANCHOK
3,30,143302,131696,0,51836,67876,53767,41024,30211,19085,8709,2260,230,274998,SINDHUPALCHOK
3,31,161953,153376,5,54665,81737,62733,47127,35279,20450,9870,3046,427,315334,MAKAWANPUR
3,35,217314,224766,2,70470,101528,92056,74930,52346,30931,14390,4659,772,442082,CHITAWAN
4,36,114837,114220,1,40532,52420,41802,33674,28779,19146,9442,2868,395,229058,GORKHA
4,37,3377,3623,0,1107,1520,1359,944,959,725,315,64,7,7000,MANANG
4,38,67600,69524,0,26043,31865,23652,20972,17754,10890,4714,1134,100,137124,LAMJUNG
4,39,148415,160153,4,47471,68536,61917,50352,39115,24364,12415,3850,552,308572,KASKI
4,40,123491,130906,0,45875,60199,47268,38884,30846,19317,9094,2555,359,254397,TANAHU
4,41,122464,126351,1,48457,61345,44767,36243,28970,18864,8176,1814,180,248816,SYANGJA
4,45,129054,139468,4,48026,67145,55998,40739,28869,17746,7736,1990,277,268526,NAWALPARASI_E
4,48,5559,5768,1,2008,2470,2156,1828,1390,949,467,56,4,11328,MUSTANG
4,49,42332,44064,1,16200,20654,16445,12876,10081,6450,3014,614,63,86397,MYAGDI
4,50,94806,98574,1,34742,49243,37156,28251,22262,14633,5719,1262,113,193381,BAGLUNG
4,51,62600,62865,1,25517,32250,22766,17667,13800,8764,3776,851,75,125466,PARBAT
5,42,114337,115210,2,46855,60562,40379,32171,25631,16055,6442,1349,105,229549,GULMI
5,43,101893,105543,0,36364,53657,39631,31636,23492,14625,6367,1513,151,207436,PALPA
5,44,87157,84495,0,35203,43121,31011,24031,18904,11714,5816,1691,161,171652,ARGHAKHANCHI
5,46,346203,326311,9,109881,161485,148205,104864,73376,49493,19541,4949,729,672523,RUPANDEHI
5,47,211846,184415,4,68773,97219,84487,58591,41787,31659,11299,2159,291,396265,KAPILBASTU
5,52,17582,17190,0,6442,8454,6811,5610,4182,2435,719,111,8,34772,RUKUM_E
5,53,74690,74907,0,28450,39308,27844,22148,16065,10448,4418,835,81,149597,ROLPA
5,54,81366,84039,1,31311,43803,30195,23662,17803,12129,5159,1226,118,165406,PYUTHAN
5,56,213380,218303,3,80106,110628,88749,67021,44251,28295,10535,1886,215,431686,DANG
5,65,178139,172223,9,62496,90914,75536,51785,35123,23330,9117,1797,273,350371,BANKE
5,66,159387,163873,6,58491,86351,67688,49706,31049,19828,8113,1784,256,323266,BARDIYA
5,77,129183,124970,4,43304,62163,56312,38267,27515,18190,6681,1517,208,254157,NAWALPARASI_W
6,55,83321,79128,0,34676,41520,30749,23994,16824,10353,3602,684,47,162449,SALYAN
6,57,11928,12187,0,6042,6215,4577,3583,2213,1149,295,38,3,24115,DOLPA
6,58,18598,17433,0,8937,9267,6638,5232,2962,2070,754,163,8,36031,MUGU
6,59,37459,34280,0,15918,18318,13979,10660,6734,4598,1322,202,8,71739,JUMLA
6,60,44603,40043,0,21550,18801,14876,12136,9017,5548,2224,452,42,84646,KALIKOT
6,61,18021,16351,0,7577,8174,6865,4951,3389,2292,826,255,43,34372,HUMLA
6,62,56705,50384,2,26218,25979,20817,15700,10022,5785,2211,334,25,107091,JAJARKOT
6,63,81099,80105,0,34361,41151,30355,24774,16123,10214,3624,566,36,161204,DAILEKH
6,64,121889,127054,0,49941,63406,51700,36807,24186,15345,6088,1318,152,248943,SURKHET
6,78,54263,52396,1,25874,26612,19774,15915,10108,6062,1985,316,14,106660,RUKUM_W
7,67,45428,42431,2,20692,18796,16692,13129,9176,5926,2612,764,74,87861,BAJURA
7,68,82034,83301,2,33859,40657,30971,23469,16218,11378,6500,2163,122,165337,ACHHAM
7,69,64614,62289,0,27657,29484,23819,19104,12058,8950,4439,1316,76,126903,BAJHANG
7,70,61578,66821,0,21889,32147,25002,19849,14028,10171,4238,966,109,128399,DOTI
7,71,270798,280243,11,97989,149239,116710,82770,51412,34803,14159,3464,506,551052,KAILALI
7,72,47755,45193,0,19859,22151,17664,14065,9452,6471,2609,631,46,92948,DARCHULA
7,73,78987,77383,2,29255,36194,29496,24985,17280,11922,5619,1507,114,156372,BAITADI
7,74,46957,46446,0,17428,24078,17962,14416,9448,6489,2900,619,63,93403,DADELDHURA
7,75,154068,160316,1,50245,84215,67649,48424,33270,20185,7958,2046,393,314385,KANCHANPUR
