district_id,district_EN,total_voters,casted_votes,Total_valid_pr_votes,Turnout_Rate,Valid_Vote_Rate
1,taplejung,78397,51748,47056,66.01,90.93
2,panchthar,125219,77977,68837,62.27,88.28
3,illam,204046,134227,126160,65.78,93.99
4,jhapa,585166,417819,385735,71.4,92.32
5,sankhuwasabha,105046,69226,63344,65.9,91.5
6,terhathum,66667,44222,41255,66.33,93.29
7,bhojpur,113745,65908,56893,57.94,86.32
8,dhankuta,105188,68772,63112,65.38,91.77
9,morang,644782,459172,417601,71.21,90.95
10,sunsari,474831,328429,292993,69.17,89.21
11,solukhumbu,69411,41420,36771,59.67,88.78
12,khotang,125108,71254,63395,56.95,88.97
13,okhaldhunga,102250,65854,59892,64.4,90.95
14,udayapur,193918,117003,104319,60.34,89.16
15,saptari,346200,236800,191917,68.4,81.05
16,siraha,344370,240683,212313,69.89,88.21
17,dolakha,147923,88274,79145,59.68,89.66
18,ramechhap,152559,88743,78677,58.17,88.66
19,sindhuli,181518,114454,104470,63.05,91.28
20,dhanusa,404675,271989,241440,67.21,88.77
21,mahottari,317689,212525,181821,66.9,85.55
22,sarlahi,385580,264708,233440,68.65,88.19
23,rasuwa,32322,26098,22896,80.74,87.73
24,dhading,233505,155323,143240,66.52,92.22
25,nuwakot,208191,138603,124903,66.57,90.12
26,kathmandu,603459,423372,405692,70.16,95.82
27,bhaktapur,178094,136007,130697,76.37,96.1
28,lalitpur,228338,165168,157001,72.33,95.06
29,kavrepalanchowk,272292,194415,181458,71.4,93.34
30,sindhupalchowk,226540,155659,138611,68.71,89.05
31,makwanpur,255603,170966,155861,66.89,91.16
32,rautahat,329861,236664,209010,71.75,88.32
33,bara,349949,244212,218906,69.79,89.64
34,parsa,289055,204443,180228,70.73,88.16
35,chitwan,354036,260232,244842,73.5,94.09
36,gorkha,189448,123776,111106,65.34,89.76
37,manang,5881,4333,4123,73.68,95.15
38,lamjung,115449,77214,72662,66.88,94.1
39,kaski,255452,180573,173312,70.69,95.98
40,tanahun,211396,136139,127428,64.4,93.6
41,syangja,210038,139549,132937,66.44,95.26
42,gulmi,196342,128775,121358,65.59,94.24
43,palpa,181255,123199,118178,67.97,95.92
44,arghakhanchi,138328,88343,81647,63.86,92.42
45,nawalparasieast,221714,164095,155619,74.01,94.83
46,rupandehi,522602,391896,349745,74.99,89.24
47,kapilvastu,311760,230092,200197,73.8,87.01
48,mustang,9427,6773,6610,71.85,97.59
49,myagdi,75537,47301,42615,62.62,90.09
50,baglung,167282,108151,101498,64.65,93.85
51,parbat,107300,69922,66612,65.16,95.27
52,rukumeast,27928,18132,16441,64.92,90.67
53,rolpa,127629,70570,59076,55.29,83.71
54,pyuthan,138641,90378,80080,65.19,88.61
55,salyan,134213,83758,72110,62.41,86.09
56,dang,338952,229452,207454,67.69,90.41
57,dolpa,18989,15740,14858,82.89,94.4
58,mugu,30015,23599,20782,78.62,88.06
59,jumla,59059,41456,37868,70.19,91.35
60,kalikot,64961,42546,36789,65.49,86.47
61,humla,27435,22064,20492,80.42,92.88
62,jajarkot,83937,60897,53695,72.55,88.17
63,dailekh,139944,92999,82121,66.45,88.3
64,surkhet,204577,144170,135342,70.47,93.88
65,banke,276716,196126,169130,70.88,86.24
66,bardiya,272477,190812,171001,70.03,89.62
67,bajura,69834,53222,50530,76.21,94.94
68,achham,136903,86495,79715,63.18,92.16
69,bajhang,104275,66577,59435,63.85,89.27
70,doti,106543,69149,61733,64.9,89.28
71,kailali,460578,308143,271784,66.9,88.2
72,darchula,78513,54503,49919,69.42,91.59
73,baitadi,132319,74775,62016,56.51,82.94
74,dadeldhura,81736,53447,48941,65.39,91.57
75,kanchanpur,264972,183028,161133,69.07,88.04
77,nawalparasiwest,208237,161139,142829,77.38,88.64
78,rukumwest,84032,54843,49927,65.26,91.04
